"Items","Period","Value"
"Cash and cash equivalents","FY23",29965
"Marketable Securities","FY23",31590
"Accounts Receivab net","FY23",19508
"Vendor non-trade Receivable","FY23",31477
"Inventories","FY23",6331
"Other Current Assets","FY23",14695
"Marketable Securities, non-current","FY23",100544
"Property, Plant and Equipment, net","FY23",43715
"Other non-current Assets","FY23",64758
"Accounts Payable","FY23",62611
"Other Current Liabilities","FY23",58829
"Deferred Revenue","FY23",8061
"Commercial Paper","FY23",5985
"Term Debt","FY23",9822
"Term Debt, non-current","FY23",95281
"Other non-current Liabilities","FY23",49848
"Common Stocks","FY23",73812
"Retained Earning","FY23",11666
