"Items","Period","Value"
"Net Income","FY23",96995
"Depreciation and Amortization","FY23",11519
"Share-based Compensation Expense","FY23",10833
"Other Adjustments on Operating Activities","FY23",-2227
"Change in Operating Assets and Liabilities","FY23",-6577
"Marketable Securities Activities, net","FY23",16001
"Acquisition of Property, Plant and Equipment","FY23",-10959
"Other Investing Activities","FY23",-1337
"Payments for Taxes related to net share Settlement of Equity Awards","FY23",-5431
"Payments for Dividends","FY23",-15025
"Repurchase of Common Stock","FY23",-77550
"Debt Activities","FY23",-9901
"Other Financing Activities","FY23",-581
"Net Increase in Cash","FY23",5760
