"Items","Period","Value"
"Net Income","Year 1",0
"Depreciation and Amortization","Year 1",0
"Share-based Compensation Expense","Year 1",0
"Other Adjustments on Operating Activities","Year 1",0
"Change in Operating Assets and Liabilities","Year 1",0
"Marketable Securities Activities, net","Year 1",0
"Acquisition of Property, Plant and Equipment","Year 1",0
"Other Investing Activities","Year 1",0
"Payments for Taxes related to net share Settlement of Equity Awards","Year 1",0
"Payments for Dividends","Year 1",0
"Repurchase of Common Stock","Year 1",0
"Debt Activities","Year 1",0
"Other Financing Activities","Year 1",0
"Net Increase in Cash","Year 1",0
