"Items","Period","Value"
"Cash and Due from Banks","FY23",27892
"Interest-bearing Deposits","FY23",305181
"Time Deposits and Other Short-term Investments","FY23",8346
"Federal Funds and Securities Borrowed or Purchased under Agreements to Resell","FY23",280624
"Trading Accounts Assets","FY23",277354
"Derivative Assets","FY23",39323
"Debt Securities","FY23",871407
"Loans and Leases, net","FY23",1040390
"Premises, Equipment, net","FY23",11855
"Goodwill","FY23",69021
"Loans Held-for-sales","FY23",6002
"Customer and other Receivables","FY23",81881
"Other Assets","FY23",160875
"Noninterest-bearing Deposits, US","FY23",530619
"Interest-bearing Deposits, US","FY23",1273904
"Noninterest-bearing Deposits, non-US","FY23",16427
"Interest-bearing Deposits, non-US","FY23",102877
"Federal Funds Purchased and Securities Loaned or Sold under Agreements to Repurchase","FY23",283887
"Trading Accounts Liabilities","FY23",95530
"Derivative Liabilities","FY23",43432
"Short-term Borrowing","FY23",32098
"Accrued Expenses and Other Liabilities","FY23",207527
"Long-term Debt","FY23",302204
"Preferred Stock","FY23",28397
"Common Stock","FY23",56365
"Retained Earning","FY23",206884
