"Items","Period","Value"
"Net Income","FY23",26515
"Provision for Credit Losses","FY23",4394
"(Gain) Losses on Sales of Debt Securities","FY23",405
"Depreciation and Amortization","FY23",2057
"Net Amortization of Premium/Discount on Debt Securities","FY23",-397
"Deferred Income Taxes","FY23",-2011
"Stock-based Compensation","FY23",2942
"Loans Held-for-sales","FY23",641
"Trading and Derivative Assets/Liabilities, net change","FY23",44391
"Other Assets, net change","FY23",-23944
"Accrued Expenses and other Liabilities, net change","FY23",-17719
"Other Operating Activities, net","FY23",7708
"Net Change in Time Deposits, Federal Funds, and Securities under Agreement to Resell","FY23",-14137
"Debt Securities Carried at Fair Value","FY23",-41095
"Held-for-maturity Debt Securities","FY23",36857
"Loans and Leases","FY23",-11754
"Other Investing Activities","FY23",-5258
"Net Change in Deposits, Short-term Borrowing, and Federal Funds under Agreement to Repurchase","FY23",86900
"Long-term Debt Activities","FY23",20825
"Preferred Stock Activities","FY23",0
"Common Stock Repurchase","FY23",-4576
"Cash Dividends Paid","FY23",-9087
"Other Financing Activities, net","FY23",-717
"Effect of Exchange Rate","FY23",-70
"Net Increase in Cash","FY23",102870
"Net Income","FY22",27528
"Provision for Credit Losses","FY22",2543
"(Gain) Losses on Sales of Debt Securities","FY22",-32
"Depreciation and Amortization","FY22",1978
"Net Amortization of Premium/Discount on Debt Securities","FY22",2072
"Deferred Income Taxes","FY22",739
"Stock-based Compensation","FY22",2862
"Loans Held-for-sales","FY22",6705
"Trading and Derivative Assets/Liabilities, net change","FY22",-95772
"Other Assets, net change","FY22",20799
"Accrued Expenses and other Liabilities, net change","FY22",23029
"Other Operating Activities, net","FY22",1222
"Net Change in Time Deposits, Federal Funds, and Securities under Agreement to Resell","FY22",-16969
"Debt Securities Carried at Fair Value","FY22",44347
"Held-for-maturity Debt Securities","FY22",39756
"Loans and Leases","FY22",-65051
"Other Investing Activities","FY22",-4612
"Net Change in Deposits, Short-term Borrowing, and Federal Funds under Agreement to Repurchase","FY22",-127705
"Long-term Debt Activities","FY22",31855
"Preferred Stock Activities","FY22",3772
"Common Stock Repurchase","FY22",-5073
"Cash Dividends Paid","FY22",-8576
"Other Financing Activities, net","FY22",-312
"Effect of Exchange Rate","FY22",-3123
"Net Increase in Cash","FY22",-118018
