"Items","Period","Value"
"Loans and Leases","Year 1",0
"Debt Securities","Year 1",0
"Federal Funds Activities","Year 1",0
"Trading Account Assets","Year 1",0
"Other Interest Income","Year 1",0
"Deposits","Year 1",0
"Short-term Borrowing","Year 1",0
"Trading Account Liabilities","Year 1",0
"Long-term Debt","Year 1",0
"Fee and Commissions","Year 1",0
"Market Making and Similar Activities","Year 1",0
"Other Income","Year 1",0
"Provision for Credit Losses","Year 1",0
"Compensation and Benefits","Year 1",0
"Occupancy and Equipment","Year 1",0
"Information Processing and Communications","Year 1",0
"Product Delivery and Transaction Related","Year 1",0
"Professional Fees","Year 1",0
"Marketing","Year 1",0
"Other General Operating","Year 1",0
"Income Tax","Year 1",0
"Net Income","Year 1",0
