"Items","Period","Value"
"Net Income","Year 1",0
"(Earning) Loss from Discontinued Operations Activities","Year 1",0
"Depreciation and Amortization","Year 1",0
"Amortization of Intangible Assets","Year 1",0
"(Gain) Losses on Purchases and Sales of Business Interests","Year 1",0
"(Gain) Losses on Retained and Sold Ownership Interests and Other Equity Securities","Year 1",0
"Debt Extinguishment Costs","Year 1",0
"Pension Activities","Year 1",0
"Income Taxes Activities","Year 1",0
"Changes in Operating Working Capital","Year 1",0
"Financial Services Derivatives net Collateral/Settlement","Year 1",0
"Other Operating Activities","Year 1",0
"Cash from Operating Activities - Discontinued Operations","Year 1",0
"Cash from Investing Activities - Disontinued Operations","Year 1",0
"Capital Expenditure, net","Year 1",0
"Proceeds from Sale of Discontinued Operations","Year 1",0
"Principal Businesses Purchased, net","Year 1",0
"Disposition of Insurance Investment Securities, net","Year 1",0
"Other Investing Activities","Year 1",0
"Debt Activities","Year 1",0
"Dividends Paid","Year 1",0
"Redemption of Preferred Stocks","Year 1",0
"Common Stock buyback","Year 1",0
"Other Financing Activities","Year 1",0
"Cash from Financing Activities - Disontinued Operations","Year 1",0
"Effect of Currency Exchange","Year 1",0
"Increase in Cash","Year 1",0
"Cash of Discontinued Operations","Year 1",0
