"Items","Period","Value"
"Sales of Equipment","Year 1",0
"Sales of Service","Year 1",0
"Insurance Revenue","Year 1",0
"Cost of Equipment Sold","Year 1",0
"Cost of Service Sold","Year 1",0
"Selling, General and Adminstrative Expenses","Year 1",0
"Separation Costs","Year 1",0
"Research and Development","Year 1",0
"Interest and other Financial Charges","Year 1",0
"Debt Extinguishment Costs","Year 1",0
"Insurance Losses, Annuity Benefits and other Costs","Year 1",0
"Non-operating Benefit Cost (Income)","Year 1",0
"Other Income (Loss)","Year 1",0
"Income Tax","Year 1",0
"Earning from Discontinued Operation, net of Taxes","Year 1",0
"Net Income","Year 1",0
