"Items","Period","Value"
"Net Income","Year 1",0
"Depreciation and Impairment of Property and Equipment","Year 1"0
"Amortization and Impairment of Intangible Assets","Year 1",0
"Stock-based Compensation Expense","Year 1",0
"Deferred Income Tax","Year 1",0
"(Gain) Loss on Debt and Equity Securities, net","Year 1",0
"Other Adjustment","Year 1",0
"Change in Assets and Liabilities, net of effects of Acquisitions","Year 1",0
"Capital Expenditure","Year 1",0
"Securities Investment","Year 1",0
"Acquisitions","Year 1",0
"Other Investment Activities","Year 1",0
"Repurchase of Stock and Stock-based Award Activities","Year 1",0
"Debt-related Activities","Year 1",0
"Effect of Exchange Rate on Cash",,"Year 1",0
"Net Increase in Cash","Year 1",0
