"Items","Period","Value"
"Net Income","Year 1",0
"Depreciation and Amortization","Year 1",0
"Share-based Compensation","Year 1",0
"Deferred Income Taxes","Year 1",0
"Impairment Charges for Facilities Consolidation, net","Year 1",0
"Data Center Assets Abandonment","Year 1",0
"Other Adjustment in Operating Activities","Year 1",0
"Changes in Assets and Liabilities","Year 1",0
"Net Increase (Decrease) in Cash","Year 1",0
"Purchases of Property and Equipment and Activities","Year 1",0
"Marketable Debt Securities Activities","Year 1",0
"Acquisitions of Businesses and Intangible Assets","Year 1",0
"Other Investing Activities","Year 1",0
"Taxes Paid related to net share Settlement of Equity Award","Year 1",0
"Repurchases of Common Stock","Year 1",0
"Debt Issuance Activities","Year 1",0
"Finance Leases Activities","Year 1",0
"Other Financing Activities","Year 1",0
"Effect of Exchange Rate","Year 1",0
