"Items","Period","Value"
"Revenue","FY23",134902
"Cost of Revenue","FY23",25959
"Research and Development","FY23",38483
"Marketing and Sales","FY23",12301
"General Administrative","FY23",11408
"Interest and other income (expense), net","FY23",677
"Income Taxes","FY23",8330
"Net Income","FY23",39098
"Revenue","FY22",116609
"Cost of Revenue","FY22",25249
"Research and Development","FY22",35338
"Marketing and Sales","FY22",15262
"General Administrative","FY22",11816
"Interest and other income (expense), net","FY22",-125
"Income Taxes","FY22",5619
"Net Income","FY22",23200
