"Items","Period","Value"
"Cash and Cash Equivalents","FY24",7280
"Marketable Securities","FY24",18704
"Accounts Receivable","FY24",9999
"Inventories","FY24",5282
"Prepaid Expenses and other Current Assets","FY24",3080
"Property and Equpiment, net","FY24",3914
"Operating Lease Assets","FY24",1346
"Goodwill","FY24",4430
"Intangible Assets, net","FY24",1112
"Deferred Income Tax Assets","FY24",6081
"Other Assets","FY24",4500
"Accounts Payable","FY24",2699
"Accrued and other Current Liabilities","FY24",6682
"Short-term Debt","FY24",1250
"Long-term Debt","FY24",8459
"Long-term Operating Lease Liabilities","FY24",1119
"Other Long-term Liabilities","FY24",2541
"Common Stocks","FY24",13134
"Retained Earnings","FY24",29844
"Cash and Cash Equivalents","FY23",3389
"Marketable Securities","FY23",9907
"Accounts Receivable","FY23",3827
"Inventories","FY23",5159
"Prepaid Expenses and other Current Assets","FY23",791
"Property and Equpiment, net","FY23",3807
"Operating Lease Assets","FY23",1038
"Goodwill","FY23",4372
"Intangible Assets, net","FY23",1676
"Deferred Income Tax Assets","FY23",3396
"Other Assets","FY23",3820
"Accounts Payable","FY23",1193
"Accrued and other Current Liabilities","FY23",4120
"Short-term Debt","FY23",1250
"Long-term Debt","FY23",9703
"Long-term Operating Lease Liabilities","FY23",902
"Other Long-term Liabilities","FY23",1913
"Common Stocks","FY23",11928
"Retained Earnings","FY23",10171
